"RefDes"."Name"."Pattern"."Center X (mm)"."Center Y (mm)"."Side"."Rotation"."Value"."Origin X (mm)"."Origin Y (mm)"."Part Number (LCSC)"."Part Number (Digi-Key)"."Part Number (Mouser)"."MP"."Package"
"C108"."CAP_0402"."CAP_0402_MURATA"."49.6"."51.2"."Top"."270.0"."200pF 16V 0402"."49.6"."51.2".""."".""."".""
"C109"."CAP_0603"."CAP_0603_N"."50.35"."50.975"."Bottom"."180.0"."10uF 6.3V 0603 X5R 20mOhm ESR 10%"."50.35"."50.975".""."".""."".""
"C110"."CAP_0603"."CAP_0603_N"."62.15"."54.875"."Bottom"."0.01"."10uF 6.3V 0603 X5R 20mOhm ESR 10%"."62.15"."54.875".""."".""."".""
"C120"."CAP_0402"."CAP_0402_MURATA"."58.8"."31.3"."Bottom"."225.0"."100nF 6.3V 0402"."58.8"."31.3".""."".""."".""
"C132"."CAP_0805_N"."CAP_0805_N"."17.3"."24.225"."Top"."180.0"."22uF 25V X5R"."17.3"."24.225".""."".""."".""
"C133"."CAP_0805_N"."CAP_0805_N"."17.3"."26.1"."Top"."180.0"."22uF 25V X5R"."17.3"."26.1".""."".""."".""
"C134"."CAP_0603"."CAP_0603_N"."11.6"."21.4"."Top"."270.0"."4.7uF 6.3V 0603 X5R 10%"."11.6"."21.4".""."".""."".""
"C135"."CAP_0805_N"."CAP_0805_N"."17.3"."17.8"."Top"."180.0"."22uF 25V X5R"."17.3"."17.8".""."".""."".""
"C136"."CAP_0805_N"."CAP_0805_N"."17.3"."15.925"."Top"."180.0"."22uF 25V X5R"."17.3"."15.925".""."".""."".""
"C137"."CAP_0603"."CAP_0603_N"."11.6"."13.1"."Top"."270.0"."4.7uF 6.3V 0603 X5R 10%"."11.6"."13.1".""."".""."".""
"C138"."CAP_0805_N"."CAP_0805_N"."17.3"."34.4"."Top"."180.0"."22uF 25V X5R"."17.3"."34.4".""."".""."".""
"C139"."CAP_0805_N"."CAP_0805_N"."17.3"."32.525"."Top"."180.0"."22uF 25V X5R"."17.3"."32.525".""."".""."".""
"C140"."CAP_0603"."CAP_0603_N"."11.6"."29.7"."Top"."270.0"."4.7uF 6.3V 0603 X5R 10%"."11.6"."29.7".""."".""."".""
"C141"."CAP_0402"."CAP_0402_MURATA"."55.5"."31.2"."Bottom"."315.0"."100nF 6.3V 0402"."55.5"."31.2".""."".""."".""
"C142"."CAP_0402"."CAP_0402_MURATA"."55.475"."27.975"."Bottom"."45.0"."100nF 6.3V 0402"."55.475"."27.975".""."".""."".""
"C143"."CAP_0402"."CAP_0402_MURATA"."59.2"."28"."Bottom"."90.0"."100nF 6.3V 0402"."59.2"."28".""."".""."".""
"C144"."CAP_0402"."CAP_0402_MURATA"."59.5"."24.4"."Bottom"."180.0"."100nF 6.3V 0402"."59.5"."24.4".""."".""."".""
"C145"."CAP_0805_N"."CAP_0805_N"."47.5"."34.85"."Top"."180.01"."22uF 25V X5R"."47.5"."34.85".""."".""."".""
"C146"."CAP_0402"."CAP_0402_MURATA"."55.4"."29.7"."Bottom"."315.0"."100nF 6.3V 0402"."55.4"."29.7".""."".""."".""
"C147"."CAP_0402"."CAP_0402_MURATA"."50.85"."25.6"."Bottom"."90.0"."100nF 6.3V 0402"."50.85"."25.6".""."".""."".""
"C148"."CAP_0402"."CAP_0402_MURATA"."50.925"."33.6"."Bottom"."270.0"."100nF 6.3V 0402"."50.925"."33.6".""."".""."".""
"C149"."CAP_0402"."CAP_0402_MURATA"."52"."30"."Bottom"."0.0"."100nF 6.3V 0402"."52"."30".""."".""."".""
"C150"."CAP_0402"."CAP_0402_MURATA"."60.7"."35.8"."Bottom"."180.0"."100nF 6.3V 0402"."60.7"."35.8".""."".""."".""
"C151"."CAP_0402"."CAP_0402_MURATA"."57.5"."35.6"."Bottom"."0.0"."100nF 6.3V 0402"."57.5"."35.6".""."".""."".""
"C152"."CAP_0402"."CAP_0402_MURATA"."57"."31.3"."Bottom"."315.0"."100nF 6.3V 0402"."57"."31.3".""."".""."".""
"C153"."CAP_0402"."CAP_0402_MURATA"."53.5"."35.6"."Bottom"."0.0"."100nF 6.3V 0402"."53.5"."35.6".""."".""."".""
"C154"."CAP_0402"."CAP_0402_MURATA"."63.9"."33.6"."Bottom"."270.0"."100nF 6.3V 0402"."63.9"."33.6".""."".""."".""
"C155"."CAP_0402"."CAP_0402_MURATA"."63.375"."25.2"."Bottom"."0.0"."100nF 6.3V 0402"."63.375"."25.2".""."".""."".""
"C156"."CAP_0402"."CAP_0402_MURATA"."63.5"."28.8"."Bottom"."270.0"."100nF 6.3V 0402"."63.5"."28.8".""."".""."".""
"C157"."CAP_0402"."CAP_0402_MURATA"."58.7"."29.4"."Bottom"."180.0"."100nF 6.3V 0402"."58.7"."29.4".""."".""."".""
"C158"."CAP_0402"."CAP_0402_MURATA"."58.3"."28"."Bottom"."90.0"."100nF 6.3V 0402"."58.3"."28".""."".""."".""
"C159"."CAP_0402"."CAP_0402_MURATA"."56.8"."28"."Bottom"."45.0"."100nF 6.3V 0402"."56.8"."28".""."".""."".""
"C160"."CAP_0402"."CAP_0402_MURATA"."61.5"."22.9"."Bottom"."270.0"."100nF 6.3V 0402"."61.5"."22.9".""."".""."".""
"C161"."CAP_0402"."CAP_0402_MURATA"."54.3"."22.9"."Bottom"."270.0"."100nF 6.3V 0402"."54.3"."22.9".""."".""."".""
"C162"."CAP_0402"."CAP_0402_MURATA"."49.95"."33.6"."Bottom"."90.0"."4.7uF 6.3V 0402 10%"."49.95"."33.6".""."".""."".""
"C163"."CAP_0402"."CAP_0402_MURATA"."48.975"."33.6"."Bottom"."90.0"."100nF 6.3V 0402"."48.975"."33.6".""."".""."".""
"C164"."CAP_0402"."CAP_0402_MURATA"."62.9"."38.2"."Bottom"."0.0"."4.7uF 6.3V 0402 10%"."62.9"."38.2".""."".""."".""
"C165"."CAP_0402"."CAP_0402_MURATA"."62.9"."39.175"."Bottom"."0.0"."100nF 6.3V 0402"."62.9"."39.175".""."".""."".""
