"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"35","R5, R6, R14, R15, R39, R40, R46, R47","8","RES_0603_N","47R","RES_0603_N","","","","","","","","2"
"36","R7","1","RES_0402","118K 0402 1%","RES_0402_202305","","","","","","","","2"
"37","R8, R34","2","RES_0402","22K1 0402 1%","RES_0402_202305","","","","","","","","2"
"38","R9, R16, R41, R48, R57, R58, R59, R60","8","RES_2512_N","0R05 1206 1W","RES_2512_N","","","","","","","","2"
"39","R17, R49","2","RES_0603_N","2R2","RES_0603_N","","","","","","","","2"
"40","R18","1","RES_0603_N","470R","RES_0603_N","","","","","","","","2"
"41","R19","1","RES_0603_N","680R","RES_0603_N","","","","","","","","2"
"42","R20, R27, R28, R29, R30, R31","6","RES_0603_N","100K","RES_0603_N","","","","","","","","2"
"43","R21, R22, R23, R24, R52, R53, R55, R56","8","RES_0603_N","10K","RES_0603_N","","","","","","","","2"
"44","R25, R26, R32, R50, R51","5","RES_0603_N","0R","RES_0603_N","","","","","","","","2"
"45","R33","1","RES_0402","309K 0402 1%","RES_0402_202305","","","","","","","","2"
"46","R54","1","RES_0603_N","2K2","RES_0603_N","","","","","","","","2"
"47","R155, R156","2","YC164-FR-072KL","2K","RESCAXS8P80_320X160X70L30X50N","Yageo","","","","603-YC164-FR-072KL","YC164-FR-072KL-ND","http://datasheets.diptrace.com/rc_networks/PYu-YC_TC164_51_RoHS_L_3.pdf","8"
"48","U1, U3","2","LMR51610YDBVR","1100kHz PFM","SOT23-6P95_280X145L45X37N","Texas Instruments","","","C22427220","","","https://www.ti.com/lit/ds/symlink/lmr51610.pdf","6"
"49","U2, U6","2","TMC5160","","TMC_TQFP48-EP_N","Trinamic","","","","","","https://www.analog.com/media/en/technical-documentation/data-sheets/TMC5160A_datasheet_rev1.18.pdf","49"
"50","U4, U5, U7","3","ISO7762DWR","","SOIC16P127_1030X1030X265L83X41N_AD4","Texas Instruments","","","C2869389","595-ISO7741FDW","296-44621-5-ND","https://www.ti.com/lit/ds/symlink/iso7760.pdf","16"
"51","U42, U43","2","AM26C32IPWR","","SOP16P65_500X640X120L62X24N_AD3","Texas Instruments","","","C478459","","","https://www.ti.com/lit/ds/symlink/am26c32.pdf","16"
"","","182","","","","","","","","","","","700"
