"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP",""
"C47","100PX220MEFC12.5X20","CAPPRD500W60D1350H2200","52.8","145.15","Top","0.0","220uF 100V 20%","52.8","145.15","C88784","","","",""
"C48","CAP_0603_N","CAP_0603_N","34.05","113.9","Top","90.0","220nF 63V 0603 X5R 10%","34.05","113.9","","","","",""
"C49","CAP_0603_N","CAP_0603_N","30.675","113.9","Top","90.0","220nF 63V 0603 X5R 10%","30.675","113.9","","","","",""
"C50","CAP_0805_N","CAP_0805_N","25.175","145.15","Top","270.0","470nF 63V 0805 X7R 10%","25.175","145.15","","","","",""
"C51","CAP_0603_N","CAP_0603_N","28.05","144.15","Top","180.0","1nF 100V 0603 X7R 10%","28.05","144.15","","","","",""
"C52","CAP_0603_N","CAP_0603_N","32.05","144.15","Top","180.0","1nF 100V 0603 X7R 10%","32.05","144.15","","","","",""
"C53","CAP_0603_N","CAP_0603_N","26.8","109.4","Top","90.0","100nF 25V 0603 X7R 10%","26.8","109.4","","","","",""
"C54","CAP_0603_N","CAP_0603_N","30.675","118.837","Top","270.0","1nF 100V 0603 X7R 10%","30.675","118.837","","","","",""
"C55","VMML1652A221MV","CAPAE1300X1650L475X115N_AD2","16.8","128.65","Top","270.0","220uF 100V 20%","16.8","128.65","C487184","","","",""
"C56","100PX220MEFC12.5X20","CAPPRD500W60D1350H2200","16.8","128.65","Top","180.0","220uF 100V 20%","16.8","128.65","C88784","","","",""
"C57","VMML1652A221MV","CAPAE1300X1650L475X115N_AD2","16.8","145.15","Top","90.0","220uF 100V 20%","16.8","145.15","C487184","","","",""
"C58","100PX220MEFC12.5X20","CAPPRD500W60D1350H2200","16.8","145.15","Top","180.0","220uF 100V 20%","16.8","145.15","C88784","","","",""
"C59","CAP_0603_N","CAP_0603_N","28.3","109.4","Top","90.0","2.2uF 25V 0603 X5R 10%","28.3","109.4","","","","",""
"C60","CAP_0603_N","CAP_0603_N","25.3","109.4","Top","90.0","2.2uF 25V 0603 X5R 10%","25.3","109.4","","","","",""
"C61","CAP_0603_N","CAP_0603_N","42.05","104.15","Top","0.0","470nF 16V 0603 X7R 10%","42.05","104.15","","","","",""
"C62","CAP_0603_N","CAP_0603_N","42.05","107.9","Top","0.0","100nF 63V 0603 X7R 10%","42.05","107.9","","","","",""
"C63","CAP_0603_N","CAP_0603_N","27.55","86.65","Top","0.0","22nF 100V 0603 X7R 10%","27.55","86.65","","","","",""
"C64","CAP_0603_N","CAP_0603_N","27.55","83.525","Top","0.0","100nF 63V 0603 X7R 10%","27.55","83.525","","","","",""
"C65","CAP_0603_N","CAP_0603_N","42.05","106.15","Top","180.0","22nF 100V 0603 X7R 10%","42.05","106.15","","","","",""
"C66","CAP_0603_N","CAP_0603_N","42.05","109.275","Top","180.0","100nF 63V 0603 X7R 10%","42.05","109.275","","","","",""
"C67","CAP_0603_N","CAP_0603_N","34.05","94.15","Top","90.0","100nF 16V 0603 X7R 10%","34.05","94.15","","","","",""
"C68","CAP_0603_N","CAP_0603_N","35.55","98.65","Top","270.0","100nF 16V 0603 X7R 10%","35.55","98.65","","","","",""
"C69","CAP_0603_N","CAP_0603_N","29.925","24.65","Top","270.0","100nF 16V 0603 X7R 10%","29.925","24.65","","","","",""
"C70","CAP_0603_N","CAP_0603_N","28.425","36.525","Top","270.0","100nF 16V 0603 X7R 10%","28.425","36.525","","","","",""
