Designator,Mid X,Mid Y,Layer,Rotation
J24,197.5,12.875,Top,180
J25,143.5,55.024,Top,0
J26,143.5,39.024,Top,0
J27,169.75,55.024,Top,0
J28,169.75,39.025,Top,0
J29,175.58,74.035,Top,0
J30,175.58,64.035,Top,0
J31,168.25,83.475,Top,180
J32,206.775,105.5,Top,-90
J33,200.575,95.885,Top,90
J34,206.775,86.2,Top,-90
J35,196,55.024,Top,0
J36,196,39.024,Top,0
J37,200.25,73.975,Top,180
J38,200.25,63.975,Top,180
J39,187,83.475,Top,180
J40,70,97.5,Top,90
J41,150,97.5,Top,90
J42,85,63.5,Top,180
J43,135,63.5,Top,180
L1,24.05,22.85,Top,-90
L2,54.25,26.55,Top,-90
L3,39.7,26.55,Top,-90
L4,42.9,49.6,Top,0
L5,42.9,74.6,Top,0
L6,103.8,45.625,Top,-90
LS1,87.5,52,Top,135
Q1,97.25,26.3,Top,180
Q2,83.9,39.55,Top,-180
Q3,75.9,39.55,Top,-180
Q4,67.9,39.55,Top,-180
Q5,41.65,57.1,Top,90
Q6,41.65,82.1,Top,90
Q7,41.65,89.35,Top,90
Q8,41.65,64.35,Top,90
Q9,110.5,45.3,Top,0
Q10,86.1,69.8,Top,180
Q11,153.25,69.75,Top,-90
R1,70,109.8,Top,0
R2,150,109.9,Top,0
R3,49.25,35.05,Top,0
R4,34.7,35.05,Top,0
R5,49.25,36.55,Top,180
R6,34.7,36.55,Top,180
R7,30.75,18.3,Top,-90
R8,31.75,18.3,Top,-90
R9,58,36.55,Top,90
R10,43.45,36.55,Top,90
R11,51.25,41.05,Top,180
R12,54.25,41.05,Top,0
R13,36.7,41.05,Top,180
R14,39.7,41.05,Top,0
R15,49,40.3,Top,90
R16,34.45,40.3,Top,90
R17,67,60.35,Top,0
R18,44.2,39.55,Top,180
R19,67,54.35,Top,180
R20,54.6,55.2,Top,-90
R21,58.75,39.55,Top,180
R22,54.55,80.15,Top,-90
R23,19.45,22.85,Top,-90
R24,49.25,38.05,Top,180
R25,34.7,38.05,Top,180
R26,58.775,43.45,Top,0
R27,58.775,44.45,Top,180
R28,193.3,23.15,Top,-90
R29,99.5,31.55,Top,-90
R30,98,31.55,Top,90
R31,96.5,31.55,Top,-90
R32,95,31.55,Top,90
R33,39.9,52.1,Top,-90
R34,38.9,52.1,Top,-90
R35,39.9,77.1,Top,-90
R36,38.9,77.1,Top,-90
R37,79.785,47.295,Top,-90
R38,85.4,44.05,Top,0
R39,78.285,47.295,Top,-90
R40,82.4,44.05,Top,0
R41,76.385,47.295,Top,-90
R42,77.4,44.05,Top,0
R43,74.885,47.295,Top,-90
R44,74.4,44.05,Top,0
R45,53.1,58.45,Top,-90
R46,53.1,83.4,Top,-90
R47,72.985,47.295,Top,-90
R48,69.4,44.05,Top,0
R49,51.65,55.2,Top,-90
R50,51.65,80.15,Top,-90
R51,48.75,55.2,Top,90
R52,48.75,80.15,Top,90
R53,71.485,47.295,Top,-90
R54,66.4,44.05,Top,0
R55,53.1,65.7,Top,-90
R56,53.1,90.65,Top,-90
R57,51.65,87.4,Top,-90
R58,51.65,62.45,Top,-90
R59,48.75,87.4,Top,90
R60,48.75,62.45,Top,90
R61,198.575,102.4,Top,180
R62,94,59.3,Top,90
R63,98.7,59.3,Top,90
R64,95.9,59.3,Top,90
R65,96.8,59.3,Top,-90
R66,94.95,59.3,Top,90
R67,100.6,59.3,Top,90
R68,99.65,59.3,Top,90
R69,101.55,59.3,Top,90
R70,95.25,55.75,Top,180
R71,95.25,56.7,Top,180
R72,198.45,97.85,Top,90
R73,103.8,50,Top,180
R74,191.25,92.4,Top,90
R75,101.75,45.875,Top,0
R76,95.65,45.875,Top,180
R77,101.75,47.875,Top,0
R78,95.65,47.875,Top,180
R79,124.15,39.95,Top,-90
R80,111.13,39.95,Top,-90
R81,103.8,51.25,Top,180
R82,202.9,105.5,Top,90
R83,202.9,84.95,Top,90
R84,110.5,48.2,Top,180
R85,110.47,42.4,Top,180
R86,202.9,108,Top,90
R87,202.9,87.45,Top,90
R88,112.78,46.3,Top,90
R89,112.78,44.25,Top,-90
R90,125.5,87.5,Top,0
R91,125.5,88.5,Top,0
R92,105.5,87.45,Top,0
R93,105.5,88.45,Top,0
R94,120,92.7,Top,180
R95,100,92.7,Top,180
R96,117.2,92.7,Top,-90
R97,97.15,92.7,Top,-90
R98,134.2,20.9,Top,180
R99,132.9,18.25,Top,90
R100,140.4,18.25,Top,90
R101,135.4,18.25,Top,90
R102,137.9,18.25,Top,90
R103,113,88,Top,-90
R104,93,88,Top,-90
R105,113,83.5,Top,-90
R106,93,83.5,Top,-90
R107,65,73.05,Top,180
R108,65,70.25,Top,180
R109,63.975,76.725,Top,0
R110,65.6,75.2,Top,-90
R111,70,81.55,Top,180
R112,75.5,73.5,Top,180
R113,75.5,76,Top,180
R114,112.2,97.475,Top,180
R115,172.3,94.65,Top,0
R116,162,88.5,Top,-90
R117,167,88.5,Top,-90
R118,175.15,94.65,Top,0
R119,178,94.65,Top,0
R120,169.5,88.5,Top,-90
R121,174.5,88.5,Top,-90
R122,180.85,94.65,Top,0
R123,105,98.75,Top,-90
R124,100.5,102.75,Top,90
R125,114.75,98.75,Top,-90
R126,119.25,98.75,Top,-90
R127,180.85,98.85,Top,0
R128,100.5,98.75,Top,-90
R129,105,102.75,Top,90
R130,114.75,102.75,Top,90
R131,119.25,102.75,Top,90
R132,180.75,88.5,Top,-90
R133,185.75,88.5,Top,-90
R134,178,98.85,Top,0
R135,185,24.5,Top,90
R136,175.15,98.85,Top,0
R137,182.5,24.5,Top,90
R138,188.25,88.5,Top,-90
R139,193.25,88.5,Top,-90
R140,187.4,18.4,Top,-90
R141,172.3,98.85,Top,0
R142,190.2,18.4,Top,-90
R143,198.15,17.45,Top,180
R144,198.15,18.9,Top,180
R145,152.4,26.7,Top,-90
R146,159.9,26.7,Top,-90
R147,163.65,26.7,Top,-90
R148,163.65,21.7,Top,-90
R149,171.15,26.7,Top,-90
R150,171.15,21.7,Top,-90
R151,86.1,72.3,Top,0
R152,151.25,78.25,Top,0
R153,155.75,69.75,Top,90
R154,150.75,69.75,Top,-90
R155,196,47.75,Top,-90
R156,180.25,47.75,Top,-90
R157,164.75,47.74,Top,-90
R158,149,47.75,Top,-90
R159,133.25,47.75,Top,-90
R160,63.975,75.7,Top,0
U1,30.35,22.85,Top,0
U2,54.25,34.05,Top,-90
U3,39.7,34.05,Top,-90
U4,61.25,52.35,Top,0
U5,68.75,57.35,Top,180
U6,65.25,57.35,Top,180
U7,61.9,44.45,Top,90
U8,36.9,49.6,Top,180
U9,36.9,74.6,Top,180
U10,51.4,46.15,Top,180
U11,51.4,71.1,Top,180
U12,58.15,63.5,Top,90
U13,58.1,88.45,Top,90
U14,49.45,58.45,Top,90
U15,49.45,83.4,Top,90
U16,49.45,90.65,Top,90
U17,49.45,65.7,Top,90
U18,75.65,53.545,Top,180
U19,193,98.6,Top,180
U20,98.7,53.75,Top,90
U21,98.7,46.875,Top,90
U22,199.25,86.2,Top,-90
U23,199.25,106.75,Top,-90
U24,120,86,Top,-90
U25,100,86,Top,-90
U26,140.45,23.95,Top,180
U27,23.7,98.7,Top,180
U28,32.95,98.7,Top,180
U29,70,75.45,Top,-90
U30,110,101.25,Top,90
U31,149.9,24.2,Top,180
U32,56.2,112.3,Top,90
U33,157.4,24.2,Top,180
U34,166.15,24.2,Top,0
U35,106.3,112.3,Top,90
U36,173.65,24.2,Top,0
U37,156.3,112.3,Top,90
U38,206.3,112.3,Top,90
U39,166.6,96.8,Top,90
U40,153.25,74.5,Top,-90
U41,153.25,64,Top,-90
U42,203.5,47.75,Top,180
U43,187.875,47.75,Top,180
U44,172.25,47.75,Top,180
U45,156.625,47.75,Top,180
U46,141,47.75,Top,180
X1,103.8,53.75,Top,180
Y1,185.8,95,Top,90
