Designator,Mid X,Mid Y,Layer,Rotation
S406,103.25,50.5,Top,90
U1,12.6,36.75,Top,-90
U2,14.1,29.7,Top,0
U3,14.1,21.4,Top,0
U4,14.1,13.1,Top,0
U101,57.5,50,Top,0
U102,57.5,30,Top,90
U103,72.85,32,Top,-90
U104,96.85,30.25,Top,-90
U301,74.5,47,Top,0
U302,82.5,47,Top,0
U303,32.5,47,Top,180
U304,40.5,47,Top,180
U601,70.7,19.063,Top,0
U602,83.8,19.75,Top,-90
Y101,47.25,50,Top,-90
