Eda,NamePattern,ValuePattern,Name,Value,Comment
DipTrace,CAP_0603_N,100nF 25V 0603 X7R 10%,CAP_0603_N,100nF 100V 0603 X7R 10%,De-rate from 25V to 100V
DipTrace,CAP_0603_N,100nF 63V 0603 X7R 10%,CAP_0603_N,100nF 100V 0603 X7R 10%,De-rate from 63V to 100V
