"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"C47","CAP_0603_N","CAP_0603_N","63.15","85.8","Top","270.0","100nF 16V 0603 X7R 10%","63.15","85.8","C66501","","","",""
"C48","CAP_0603_N","CAP_0603_N","186.5","24.5","Top","90.0","10nF 6.3V 0603 20% X5R","186.5","24.5","","","","",""
"C49","CAP_0603_N","CAP_0603_N","117.75","102.75","Top","90.0","10nF 6.3V 0603 20% X5R","117.75","102.75","","","","",""
"C50","VKME1651J331MV","CAPAE1030X800L320X70N_AD2","97.25","38.5","Top","0.0","330uF 63V 20%","97.25","38.5","C487393","","","",""
"C51","CAP_0603_N","CAP_0603_N","54.55","83.4","Top","270.0","100nF 16V 0603 X7R 10%","54.55","83.4","C66501","","","",""
"C52","CAP_0603_N","CAP_0603_N","181","24.5","Top","90.0","10nF 6.3V 0603 20% X5R","181","24.5","","","","",""
"C53","CAP_0603_N","CAP_0603_N","175.95","43","Top","180.0","100nF 16V 0603 X7R 10%","175.95","43","C66501","","","",""
"C54","CAP_0603_N","CAP_0603_N","144.75","27.4","Top","0.0","1uF 25V 0603 X7R 10%","144.75","27.4","C29936","","","",""
"C55","CAP_0603_N","CAP_0603_N","65.6","50.5","Top","90.0","100nF 16V 0603 X7R 10%","65.6","50.5","C66501","","","",""
"C56","CAP_0402","CAP_0402_MURATA","58.775","45.45","Top","180.0","100nF 6.3V 0402","58.775","45.45","","","","",""
"C57","CAP_0603_N","CAP_0603_N","186","18.4","Top","270.0","10nF 6.3V 0603 20% X5R","186","18.4","","","","",""
"C58","CAP_0603_N","CAP_0603_N","194.65","105.7","Top","90.0","10uF 0603 16V 20%","194.65","105.7","","","","",""
"C59","CAP_0603_N","CAP_0603_N","188.8","18.4","Top","270.0","10nF 6.3V 0603 20% X5R","188.8","18.4","","","","",""
"C60","CAP_0402","CAP_0402_MURATA","95.65","46.875","Top","180.0","100nF 6.3V 0402","95.65","46.875","","","","",""
"C61","CAP_0402","CAP_0402_MURATA","101.9","50.375","Top","90.01","100nF 6.3V 0402","101.9","50.375","","","","",""
"C62","CAP_0603_N","CAP_0603_N","172.3","93.2","Top","0.01","10nF 6.3V 0603 20% X5R","172.3","93.2","","","","",""
"C63","CAP_0402","CAP_0402_MURATA","95.5","50.375","Top","90.01","100nF 6.3V 0402","95.5","50.375","","","","",""
"C64","CAP_0603","CAP_0603_N","103.8","48.125","Top","90.0","10uF 10V 0603 X5R 10%","103.8","48.125","","","","",""
"C65","CAP_0603_N","CAP_0603_N","191.55","43","Top","180.0","100nF 16V 0603 X7R 10%","191.55","43","C66501","","","",""
