"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"C46","CAP_0805_N","CAP_0805_N","42.15","70.6","Top","270.0","22uF 25V 0805 X5R","42.15","70.6","","","","",""
"C47","CAP_0805_N","CAP_0805_N","42.15","45.6","Top","270.0","22uF 25V 0805 X5R","42.15","45.6","","","","",""
"C48","CAP_0805_N","CAP_0805_N","44.15","70.6","Top","270.0","22uF 25V 0805 X5R","44.15","70.6","","","","",""
"C49","CAP_0603_N","CAP_0603_N","56.05","51.4","Top","90.0","100nF 16V 0603 X7R 10%","56.05","51.4","C66501","","","",""
"C50","CAP_0603_N","CAP_0603_N","56.05","76.4","Top","90.0","100nF 16V 0603 X7R 10%","56.05","76.4","C66501","","","",""
"C51","CAP_1206_N","CAP_1206_N","55.4","45.85","Top","270.0","10uF 16V 1206 X7R","55.4","45.85","","","","",""
"C52","CAP_1206_N","CAP_1206_N","55.4","71.1","Top","270.0","10uF 16V 1206 X7R","55.4","71.1","","","","",""
"C53","CAP_0603_N","CAP_0603_N","63.15","60.85","Top","270.0","100nF 16V 0603 X7R 10%","63.15","60.85","C66501","","","",""
"C54","CAP_0603_N","CAP_0603_N","63.15","85.8","Top","270.0","100nF 16V 0603 X7R 10%","63.15","85.8","C66501","","","",""
"C55","CAP_0603_N","CAP_0603_N","54.6","58.45","Top","270.0","100nF 16V 0603 X7R 10%","54.6","58.45","C66501","","","",""
"C56","CAP_0603_N","CAP_0603_N","54.55","83.4","Top","270.0","100nF 16V 0603 X7R 10%","54.55","83.4","C66501","","","",""
"C57","CAP_0402","RES_0402_202305","51.95","57.95","Top","270.0","100nF 25V 0402 X5R","51.95","57.95","","","","",""
"C58","CAP_0402","RES_0402_202305","51.95","82.9","Top","270.0","100nF 25V 0402 X5R","51.95","82.9","","","","",""
"C59","CAP_0603_N","CAP_0603_N","53.1","55.2","Top","270.0","1uF 25V 0603 X5R","53.1","55.2","","","","",""
"C60","CAP_0603_N","CAP_0603_N","53.1","80.15","Top","270.0","1uF 25V 0603 X5R","53.1","80.15","","","","",""
"C61","CAP_0603_N","CAP_0603_N","50.15","55.2","Top","270.0","1nF 25V 0603 X5R","50.15","55.2","","","","",""
"C62","CAP_0603_N","CAP_0603_N","50.2","80.15","Top","270.0","1nF 25V 0603 X5R","50.2","80.15","","","","",""
"C63","CAP_0402","RES_0402_202305","51.95","90.15","Top","270.0","100nF 25V 0402 X5R","51.95","90.15","","","","",""
