"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"60","J24","1","B2B-XH-A(LF)(SN)","RED/ES","SHDRV2W64P250_2X1_740X575H700","JST","","","C158012","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","2"
"61","J25","1","B9B-XH-A(LF)(SN)","EDX","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"62","J26","1","B9B-XH-A(LF)(SN)","EDA","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"63","J27","1","B9B-XH-A(LF)(SN)","EDY","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"64","J28","1","B9B-XH-A(LF)(SN)","EDB","SHDRV9W64P250_9X1_2490X575H700","JST","","","C157966","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","9"
"65","J29","1","5499922-1","BCD","TE_5499922-1","TE Connectivity","","","C305993","","","http://datasheets.diptrace.com/con_headers/ENG_CD_5103308_E.pdf","10"
"66","J30","1","5499922-1","XYZ","TE_5499922-1","TE Connectivity","","","C305993","","","http://datasheets.diptrace.com/con_headers/ENG_CD_5103308_E.pdf","10"
"67","J31, J39","2","B6B-XH-A(LF)(SN)","EXT_2","SHDRV6W64P250_6X1_1740X575H700","JST","","","C144397","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","6"
"68","J32","1","B3B-XH-A(LF)(SN)","CAN2","SHDRV3W64P250_3X1_990X575H700","JST","","","C144394","","","http://datasheets.diptrace.com/jst/B11B-XH-A(LF)(SN)_and_series.pdf","3"
"69","J33","1","PPTC041LFBN-RC","SWD","RHDRV4W80P254_4X1_1066X250H875_AP1","Sullins","","","","","S7002-ND","http://datasheets.diptrace.com/con_headers/xPxCxxxLFBN-RC_10492-E.pdf","4"
